,Unnamed: 0,full_name,rating,jersey,team,position,b_day,height,weight,salary,country,draft_year,draft_round,draft_peak,college,age,players_photo,team_photo
0,0,LeBron James,97,#23,Los Angeles Lakers,F,1984-12-30,6-9 / 2.06,250 lbs. / 113.4 kg.,$37436858,USA,2003,1,1,,40,https://cdn.nba.com/headshots/nba/latest/1040x760/2544.png,https://cdn.nba.com/logos/nba/1610612747/primary/L/logo.svg
1,1,Kawhi Leonard,97,#2,Los Angeles Clippers,F,1991-06-29,6-7 / 2.01,225 lbs. / 102.1 kg.,$32742000,USA,2011,1,15,San Diego State,33,https://cdn.nba.com/headshots/nba/latest/1040x760/202695.png,https://cdn.nba.com/logos/nba/1610612746/primary/L/logo.svg
2,2,Giannis Antetokounmpo,96,#34,Milwaukee Bucks,F-G,1994-12-06,6-11 / 2.11,242 lbs. / 109.8 kg.,$25842697,Greece,2013,1,15,,30,https://cdn.nba.com/headshots/nba/latest/1040x760/203507.png,https://cdn.nba.com/logos/nba/1610612749/primary/L/logo.svg
3,3,Kevin Durant,96,#7,Brooklyn Nets,F,1988-09-29,6-10 / 2.08,230 lbs. / 104.3 kg.,$37199000,USA,2007,1,2,Texas,36,https://cdn.nba.com/headshots/nba/latest/1040x760/201142.png,https://cdn.nba.com/logos/nba/1610612751/primary/L/logo.svg
4,4,James Harden,96,#13,Houston Rockets,G,1989-08-26,6-5 / 1.96,220 lbs. / 99.8 kg.,$38199000,USA,2009,1,3,Arizona State,35,https://cdn.nba.com/headshots/nba/latest/1040x760/201935.png,https://cdn.nba.com/logos/nba/1610612745/primary/L/logo.svg
5,5,Stephen Curry,95,#30,Golden State Warriors,G,1988-03-14,6-3 / 1.91,185 lbs. / 83.9 kg.,$40231758,USA,2009,1,7,Davidson,37,https://cdn.nba.com/headshots/nba/latest/1040x760/201939.png,https://cdn.nba.com/logos/nba/1610612744/primary/L/logo.svg
6,6,Anthony Davis,94,#3,Los Angeles Lakers,F-C,1993-03-11,6-10 / 2.08,222 lbs. / 100.7 kg.,$27093019,USA,2012,1,1,Kentucky,32,https://cdn.nba.com/headshots/nba/latest/1040x760/203076.png,https://cdn.nba.com/logos/nba/1610612747/primary/L/logo.svg
7,7,Paul George,93,#13,Los Angeles Clippers,F,1990-05-02,6-8 / 2.03,210 lbs. / 95.3 kg.,$33005556,USA,2010,1,10,Fresno State,34,https://cdn.nba.com/headshots/nba/latest/1040x760/202331.png,https://cdn.nba.com/logos/nba/1610612746/primary/L/logo.svg
8,8,Damian Lillard,92,#0,Portland Trail Blazers,G,1990-07-15,6-2 / 1.88,195 lbs. / 88.5 kg.,$29802321,USA,2012,1,6,Weber State,34,https://cdn.nba.com/headshots/nba/latest/1040x760/203081.png,https://cdn.nba.com/logos/nba/1610612757/primary/L/logo.svg
9,9,Joel Embiid,91,#21,Philadelphia 76ers,C,1994-03-16,7-0 / 2.13,250 lbs. / 113.4 kg.,$27504630,Cameroon,2014,1,3,Kansas,31,https://cdn.nba.com/headshots/nba/latest/1040x760/203954.png,https://cdn.nba.com/logos/nba/1610612755/primary/L/logo.svg
10,10,Kyrie Irving,91,#11,Brooklyn Nets,G,1992-03-23,6-2 / 1.88,180 lbs. / 81.6 kg.,$31742000,Australia,2011,1,1,Duke,33,https://cdn.nba.com/headshots/nba/latest/1040x760/202681.png,https://cdn.nba.com/logos/nba/1610612751/primary/L/logo.svg
11,11,Nikola Jokic,90,#15,Denver Nuggets,C,1995-02-19,7-0 / 2.13,253 lbs. / 114.8 kg.,$27504630,Serbia,2014,2,41,,30,https://cdn.nba.com/headshots/nba/latest/1040x760/203999.png,https://cdn.nba.com/logos/nba/1610612743/primary/L/logo.svg
12,12,Russell Westbrook,90,#0,Houston Rockets,G,1988-11-12,6-3 / 1.91,190 lbs. / 86.2 kg.,$38506482,USA,2008,1,4,UCLA,36,https://cdn.nba.com/headshots/nba/latest/1040x760/201566.png,https://cdn.nba.com/logos/nba/1610612745/primary/L/logo.svg
13,13,Klay Thompson,89,#11,Golden State Warriors,G,1990-02-08,6-6 / 1.98,205 lbs. / 93 kg.,$32742000,USA,2011,1,11,Washington State,35,https://cdn.nba.com/headshots/nba/latest/1040x760/202691.png,https://cdn.nba.com/logos/nba/1610612744/primary/L/logo.svg
14,14,Karl-Anthony Towns,89,#32,Minnesota Timberwolves,F-C,1995-11-15,6-11 / 2.11,248 lbs. / 112.5 kg.,$27285000,USA,2015,1,1,Kentucky,29,https://cdn.nba.com/headshots/nba/latest/1040x760/1626157.png,https://cdn.nba.com/logos/nba/1610612750/primary/L/logo.svg
15,15,Jimmy Butler,88,#22,Miami Heat,G,1989-09-14,6-7 / 2.01,220 lbs. / 99.8 kg.,$32742000,USA,2011,1,30,Marquette,35,https://cdn.nba.com/headshots/nba/latest/1040x760/202710.png,https://cdn.nba.com/logos/nba/1610612748/primary/L/logo.svg
16,16,Rudy Gobert,88,#27,Utah Jazz,C,1992-06-26,7-1 / 2.16,238 lbs. / 108 kg.,$25258427,France,2013,1,27,,32,https://cdn.nba.com/headshots/nba/latest/1040x760/203497.png,https://cdn.nba.com/logos/nba/1610612762/primary/L/logo.svg
17,17,Blake Griffin,88,#23,Detroit Pistons,F,1989-03-16,6-9 / 2.06,252 lbs. / 114.3 kg.,$34449964,USA,2009,1,1,Oklahoma,36,https://cdn.nba.com/headshots/nba/latest/1040x760/201933.png,https://cdn.nba.com/logos/nba/1610612765/primary/L/logo.svg
18,18,Donovan Mitchell,88,#45,Utah Jazz,G,1996-09-07,6-1 / 1.85,211 lbs. / 95.7 kg.,$3635760,USA,2017,1,13,Louisville,28,https://cdn.nba.com/headshots/nba/latest/1040x760/1628378.png,https://cdn.nba.com/logos/nba/1610612762/primary/L/logo.svg
19,19,Kemba Walker,88,#8,Boston Celtics,G,1990-05-08,6-0 / 1.83,172 lbs. / 78 kg.,$32742000,USA,2011,1,9,UConn,34,https://cdn.nba.com/headshots/nba/latest/1040x760/202689.png,https://cdn.nba.com/logos/nba/1610612738/primary/L/logo.svg
20,20,Luka Doncic,87,#77,Dallas Mavericks,G-F,1999-02-28,6-7 / 2.01,227 lbs. / 103 kg.,$7683360,Slovenia,2018,1,3,,26,https://cdn.nba.com/headshots/nba/latest/1040x760/1629029.png,https://cdn.nba.com/logos/nba/1610612742/primary/L/logo.svg
21,21,LaMarcus Aldridge,87,#12,San Antonio Spurs,F-C,1985-07-19,6-11 / 2.11,246 lbs. / 111.6 kg.,$26000000,USA,2006,1,2,Texas,39,https://cdn.nba.com/headshots/nba/latest/1040x760/200746.png,https://cdn.nba.com/logos/nba/1610612759/primary/L/logo.svg
22,22,Bradley Beal,87,#3,Washington Wizards,G,1993-06-28,6-3 / 1.91,207 lbs. / 93.9 kg.,$27093018,USA,2012,1,3,Florida,31,https://cdn.nba.com/headshots/nba/latest/1040x760/203078.png,https://cdn.nba.com/logos/nba/1610612764/primary/L/logo.svg
23,23,Mike Conley,87,#10,Utah Jazz,G,1987-10-11,6-1 / 1.85,185 lbs. / 83.9 kg.,$32511623,USA,2007,1,4,Ohio State,37,https://cdn.nba.com/headshots/nba/latest/1040x760/201144.png,https://cdn.nba.com/logos/nba/1610612762/primary/L/logo.svg
24,24,DeMar DeRozan,87,#10,San Antonio Spurs,G-F,1989-08-07,6-6 / 1.98,220 lbs. / 99.8 kg.,$27739975,USA,2009,1,9,USC,35,https://cdn.nba.com/headshots/nba/latest/1040x760/201942.png,https://cdn.nba.com/logos/nba/1610612759/primary/L/logo.svg
25,25,CJ McCollum,87,#3,Portland Trail Blazers,G,1991-09-19,6-3 / 1.91,197 lbs. / 89.4 kg.,$27556959,USA,2013,1,10,Lehigh,33,https://cdn.nba.com/headshots/nba/latest/1040x760/203468.png,https://cdn.nba.com/logos/nba/1610612757/primary/L/logo.svg
26,26,Victor Oladipo,87,#4,Indiana Pacers,G,1992-05-04,6-4 / 1.93,213 lbs. / 96.6 kg.,$21000000,USA,2013,1,2,Indiana,32,https://cdn.nba.com/headshots/nba/latest/1040x760/203506.png,https://cdn.nba.com/logos/nba/1610612754/primary/L/logo.svg
27,27,Kristaps Porzingis,87,#6,Dallas Mavericks,F-C,1995-08-02,7-3 / 2.21,220 lbs. / 99.8 kg.,$27285000,Latvia,2015,1,4,,29,https://cdn.nba.com/headshots/nba/latest/1040x760/204001.png,https://cdn.nba.com/logos/nba/1610612742/primary/L/logo.svg
28,28,D'Angelo Russell,87,#0,Minnesota Timberwolves,G,1996-02-23,6-4 / 1.93,193 lbs. / 87.5 kg.,$27285000,USA,2015,1,2,Ohio State,29,https://cdn.nba.com/headshots/nba/latest/1040x760/1626156.png,https://cdn.nba.com/logos/nba/1610612750/primary/L/logo.svg
29,29,Pascal Siakam,87,#43,Toronto Raptors,F,1994-04-02,6-9 / 2.06,227 lbs. / 103 kg.,$2351838,Cameroon,2016,1,27,New Mexico State,30,https://cdn.nba.com/headshots/nba/latest/1040x760/1627783.png,https://cdn.nba.com/logos/nba/1610612761/primary/L/logo.svg
30,30,Ben Simmons,87,#25,Philadelphia 76ers,F,1996-07-20,6-10 / 2.08,240 lbs. / 108.9 kg.,$8113929,Australia,2016,1,1,LSU,28,https://cdn.nba.com/headshots/nba/latest/1040x760/1627732.png,https://cdn.nba.com/logos/nba/1610612755/primary/L/logo.svg
31,31,De'Aaron Fox,86,#5,Sacramento Kings,G,1997-12-20,6-3 / 1.91,171 lbs. / 77.6 kg.,$6392760,USA,2017,1,5,Kentucky,27,https://cdn.nba.com/headshots/nba/latest/1040x760/1628368.png,https://cdn.nba.com/logos/nba/1610612758/primary/L/logo.svg
32,32,Devin Booker,86,#1,Phoenix Suns,G,1996-10-30,6-5 / 1.96,206 lbs. / 93.4 kg.,$27285000,USA,2015,1,13,Kentucky,28,https://cdn.nba.com/headshots/nba/latest/1040x760/1626164.png,https://cdn.nba.com/logos/nba/1610612756/primary/L/logo.svg
33,33,DeMarcus Cousins,86,#0,,C,1990-08-13,6-10 / 2.08,270 lbs. / 122.5 kg.,$3500000,USA,2010,1,5,Kentucky,34,https://cdn.nba.com/headshots/nba/latest/1040x760/202326.png,
34,34,Andre Drummond,86,#0,Cleveland Cavaliers,C,1993-08-10,6-10 / 2.08,270 lbs. / 122.5 kg.,$27093018,USA,2012,1,9,UConn,31,https://cdn.nba.com/headshots/nba/latest/1040x760/203083.png,https://cdn.nba.com/logos/nba/1610612739/primary/L/logo.svg
35,35,Draymond Green,86,#23,Golden State Warriors,F,1990-03-04,6-6 / 1.98,230 lbs. / 104.3 kg.,$18539130,USA,2012,2,35,Michigan State,35,https://cdn.nba.com/headshots/nba/latest/1040x760/203110.png,https://cdn.nba.com/logos/nba/1610612744/primary/L/logo.svg
36,36,Jrue Holiday,86,#11,New Orleans Pelicans,G,1990-06-12,6-3 / 1.91,180 lbs. / 81.6 kg.,$26131111,USA,2009,1,17,UCLA,34,https://cdn.nba.com/headshots/nba/latest/1040x760/201950.png,https://cdn.nba.com/logos/nba/1610612740/primary/L/logo.svg
37,37,Nikola Vucevic,86,#9,Orlando Magic,C,1990-10-24,6-11 / 2.11,240 lbs. / 108.9 kg.,$28000000,Montenegro,2011,1,16,USC,34,https://cdn.nba.com/headshots/nba/latest/1040x760/202696.png,https://cdn.nba.com/logos/nba/1610612753/primary/L/logo.svg
38,38,John Wall,86,#2,Washington Wizards,G,1990-09-06,6-4 / 1.93,195 lbs. / 88.5 kg.,$38199000,USA,2010,1,1,Kentucky,34,https://cdn.nba.com/headshots/nba/latest/1040x760/202322.png,https://cdn.nba.com/logos/nba/1610612764/primary/L/logo.svg
39,39,Jayson Tatum,85,#0,Boston Celtics,F,1998-03-03,6-8 / 2.03,204 lbs. / 92.5 kg.,$7830000,USA,2017,1,3,Duke,27,https://cdn.nba.com/headshots/nba/latest/1040x760/1628369.png,https://cdn.nba.com/logos/nba/1610612738/primary/L/logo.svg
40,40,Trae Young,85,#11,Atlanta Hawks,G,1998-09-19,6-1 / 1.85,180 lbs. / 81.6 kg.,$6273000,USA,2018,1,5,Oklahoma,26,https://cdn.nba.com/headshots/nba/latest/1040x760/1629027.png,https://cdn.nba.com/logos/nba/1610612737/primary/L/logo.svg
41,41,Eric Bledsoe,85,#6,Milwaukee Bucks,G,1989-12-09,6-1 / 1.85,195 lbs. / 88.5 kg.,$15625000,USA,2010,1,18,Kentucky,35,https://cdn.nba.com/headshots/nba/latest/1040x760/202339.png,https://cdn.nba.com/logos/nba/1610612749/primary/L/logo.svg
42,42,Clint Capela,85,#15,Atlanta Hawks,C,1994-05-18,6-10 / 2.08,211 lbs. / 95.7 kg.,$16896552,Switzerland,2014,1,25,,30,https://cdn.nba.com/headshots/nba/latest/1040x760/203991.png,https://cdn.nba.com/logos/nba/1610612737/primary/L/logo.svg
43,43,Tobias Harris,85,#12,Philadelphia 76ers,F,1992-07-15,6-8 / 2.03,226 lbs. / 102.5 kg.,$32742000,USA,2011,1,19,Tennessee,32,https://cdn.nba.com/headshots/nba/latest/1040x760/202699.png,https://cdn.nba.com/logos/nba/1610612755/primary/L/logo.svg
44,44,Al Horford,85,#42,Philadelphia 76ers,C-F,1986-06-03,6-9 / 2.06,246 lbs. / 111.6 kg.,$28000000,Dominican Republic,2007,1,3,Florida,38,https://cdn.nba.com/headshots/nba/latest/1040x760/201143.png,https://cdn.nba.com/logos/nba/1610612755/primary/L/logo.svg
45,45,Zach LaVine,85,#8,Chicago Bulls,G,1995-03-10,6-6 / 1.98,181 lbs. / 82.1 kg.,$19500000,USA,2014,1,13,UCLA,30,https://cdn.nba.com/headshots/nba/latest/1040x760/203897.png,https://cdn.nba.com/logos/nba/1610612741/primary/L/logo.svg
46,46,Kyle Lowry,85,#7,Toronto Raptors,G,1986-03-25,6-0 / 1.83,205 lbs. / 93 kg.,$33296296,USA,2006,1,24,Villanova,39,https://cdn.nba.com/headshots/nba/latest/1040x760/200768.png,https://cdn.nba.com/logos/nba/1610612761/primary/L/logo.svg
47,47,Khris Middleton,85,#22,Milwaukee Bucks,F,1991-08-12,6-7 / 2.01,217 lbs. / 98.4 kg.,$30603448,USA,2012,2,39,Texas A&M,33,https://cdn.nba.com/headshots/nba/latest/1040x760/203114.png,https://cdn.nba.com/logos/nba/1610612749/primary/L/logo.svg
48,48,Chris Paul,85,#3,Oklahoma City Thunder,G,1985-05-06,6-1 / 1.85,175 lbs. / 79.4 kg.,$38506482,USA,2005,1,4,Wake Forest,39,https://cdn.nba.com/headshots/nba/latest/1040x760/101108.png,https://cdn.nba.com/logos/nba/1610612760/primary/L/logo.svg
49,49,John Collins,84,#20,Atlanta Hawks,F,1997-09-23,6-9 / 2.06,225 lbs. / 102.1 kg.,$2686560,USA,2017,1,19,Wake Forest,27,https://cdn.nba.com/headshots/nba/latest/1040x760/1628381.png,https://cdn.nba.com/logos/nba/1610612737/primary/L/logo.svg
50,50,Buddy Hield,84,#24,Sacramento Kings,G,1993-12-17,6-4 / 1.93,212 lbs. / 96.2 kg.,$4861207,The Bahamas,2016,1,6,Oklahoma,31,https://cdn.nba.com/headshots/nba/latest/1040x760/1627741.png,https://cdn.nba.com/logos/nba/1610612758/primary/L/logo.svg
51,51,Kyle Kuzma,84,#0,Los Angeles Lakers,F,1995-07-24,6-8 / 2.03,221 lbs. / 100.2 kg.,$1974600,USA,2017,1,27,Utah,29,https://cdn.nba.com/headshots/nba/latest/1040x760/1628398.png,https://cdn.nba.com/logos/nba/1610612747/primary/L/logo.svg
52,52,Jamal Murray,84,#27,Denver Nuggets,G,1997-02-23,6-4 / 1.93,201 lbs. / 91.2 kg.,$4444746,Canada,2016,1,7,Kentucky,28,https://cdn.nba.com/headshots/nba/latest/1040x760/1627750.png,https://cdn.nba.com/logos/nba/1610612743/primary/L/logo.svg
